Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region
JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South
KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central
JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central
SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South
DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West
JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South
CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central
PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South
PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central
GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central
JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West
KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central
RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West
PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East
KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West
ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central
RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central
GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central
LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West
JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South
PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central
CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East
CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central
RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East
DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West
GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South
SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central
PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central
TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West
LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West
DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East
LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West
JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East
SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West
SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central
HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West
MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East
JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central
TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West
SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West
NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West
DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West
NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central
TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West
EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East
RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West
MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West
BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central
CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West
JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central
SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central
JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East
JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East
DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central
RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South
SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East
FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West
AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central
MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East
MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,92374,West
CB-12025,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,45011,East
VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East
FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East
